"群","H","K","A","LHS","RHS","成立"
"Q₈（8元）","{1}","{1}","{1}","1","1","成立"
"Q₈（8元）","{1}","{1}","{-1}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,-1}","2","2","成立"
"Q₈（8元）","{1}","{1}","{i}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,i}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,i}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-i}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,-i}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,-i}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i}","3","3","成立"
"Q₈（8元）","{1}","{1}","{i,-i}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i}","4","4","成立"
"Q₈（8元）","{1}","{1}","{j}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{i,j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,i,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-i,j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-j}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,-j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,-j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{i,-j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,i,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-i,-j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-i,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-i,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,-j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{j,-j}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,j,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,j,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,j,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j,-j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-i,j,-j}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j,-j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j,-j}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,j,-j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,j,-j}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,j,-j}","6","6","成立"
"Q₈（8元）","{1}","{1}","{k}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{i,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,i,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,i,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-i,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-i,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-i,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{j,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-i,j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{-j,k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-i,-j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-i,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,-i,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,-j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{j,-j,k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,j,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,j,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,j,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j,-j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{-i,j,-j,k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j,-j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j,-j,k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,j,-j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,j,-j,k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,j,-j,k}","7","7","成立"
"Q₈（8元）","{1}","{1}","{-k}","1","1","成立"
"Q₈（8元）","{1}","{1}","{1,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{-1,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{i,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,i,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-i,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-i,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-i,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{j,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-i,j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,j,-k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{-j,-k}","2","2","成立"
"Q₈（8元）","{1}","{1}","{1,-j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{-1,-j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{i,-j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,i,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-i,-j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,-i,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,-i,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,-i,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,-i,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,-i,-j,-k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{j,-j,-k}","3","3","成立"
"Q₈（8元）","{1}","{1}","{1,j,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{-1,j,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-1,j,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{i,j,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,i,j,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,i,j,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,i,j,-j,-k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{-i,j,-j,-k}","4","4","成立"
"Q₈（8元）","{1}","{1}","{1,-i,j,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{-1,-i,j,-j,-k}","5","5","成立"
"Q₈（8元）","{1}","{1}","{1,-1,-i,j,-j,-k}","6","6","成立"
"Q₈（8元）","{1}","{1}","{i,-i,j,-j,-k}","5","5","成立"
