"群","H","K","A","LHS","RHS","成立"
"S₃（6元）","{e}","{e}","{e}","1","1","成立"
"S₃（6元）","{e}","{e}","{r}","1","1","成立"
"S₃（6元）","{e}","{e}","{e,r}","2","2","成立"
"S₃（6元）","{e}","{e}","{r²}","1","1","成立"
"S₃（6元）","{e}","{e}","{e,r²}","2","2","成立"
"S₃（6元）","{e}","{e}","{r,r²}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r,r²}","3","3","成立"
"S₃（6元）","{e}","{e}","{f}","1","1","成立"
"S₃（6元）","{e}","{e}","{e,f}","2","2","成立"
"S₃（6元）","{e}","{e}","{r,f}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r,f}","3","3","成立"
"S₃（6元）","{e}","{e}","{r²,f}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r²,f}","3","3","成立"
"S₃（6元）","{e}","{e}","{r,r²,f}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r,r²,f}","4","4","成立"
"S₃（6元）","{e}","{e}","{fr}","1","1","成立"
"S₃（6元）","{e}","{e}","{e,fr}","2","2","成立"
"S₃（6元）","{e}","{e}","{r,fr}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{r²,fr}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r²,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{r,r²,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r,r²,fr}","4","4","成立"
"S₃（6元）","{e}","{e}","{f,fr}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,f,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{r,f,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r,f,fr}","4","4","成立"
"S₃（6元）","{e}","{e}","{r²,f,fr}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r²,f,fr}","4","4","成立"
"S₃（6元）","{e}","{e}","{r,r²,f,fr}","4","4","成立"
"S₃（6元）","{e}","{e}","{e,r,r²,f,fr}","5","5","成立"
"S₃（6元）","{e}","{e}","{fr²}","1","1","成立"
"S₃（6元）","{e}","{e}","{e,fr²}","2","2","成立"
"S₃（6元）","{e}","{e}","{r,fr²}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{r²,fr²}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,r²,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{r,r²,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r,r²,fr²}","4","4","成立"
"S₃（6元）","{e}","{e}","{f,fr²}","2","2","成立"
"S₃（6元）","{e}","{e}","{e,f,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{r,f,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r,f,fr²}","4","4","成立"
"S₃（6元）","{e}","{e}","{r²,f,fr²}","3","3","成立"
"S₃（6元）","{e}","{e}","{e,r²,f,fr²}","4","4","成立"
"S₃（6元）","{e}","{e}","{r,r²,f,fr²}","4","4","成立"
"S₃（6元）","{e}","{e}","{e,r,r²,f,fr²}","5","5","成立"
"S₃（6元）","{e}","{e}","{fr,fr²}","2","2","成立"
