"群","H","K","A","LHS","RHS","成立"
"Z₆（6元、可換）","{0}","{0}","{0}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{1}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{2}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{0,2}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{1,2}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,2}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{3}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{0,3}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{1,3}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,3}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{2,3}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,2,3}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{1,2,3}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,2,3}","4","4","成立"
"Z₆（6元、可換）","{0}","{0}","{4}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{0,4}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{1,4}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{2,4}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,2,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{1,2,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,2,4}","4","4","成立"
"Z₆（6元、可換）","{0}","{0}","{3,4}","2","2","成立"
"Z₆（6元、可換）","{0}","{0}","{0,3,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{1,3,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,3,4}","4","4","成立"
"Z₆（6元、可換）","{0}","{0}","{2,3,4}","3","3","成立"
"Z₆（6元、可換）","{0}","{0}","{0,2,3,4}","4","4","成立"
"Z₆（6元、可換）","{0}","{0}","{1,2,3,4}","4","4","成立"
"Z₆（6元、可換）","{0}","{0}","{0,1,2,3,4}","5","5","成立"
"Z₆（6元、可換）","{0}","{0}","{5}","1","1","成立"
"Z₆（6元、可換）","{0}","{0}","{0,5}","2","2","成立"
