"群","セクト","位数","|H₁|","|Hₙ|","lcm","Thm2.6","irredundant","n×max","Thm3.9","Gとの差","Thm4.32"
"D₄（8元）","{e}","1","1","1","1","成立","yes","1","成立","7","成立"
"D₄（8元）","{e,r²}","2","2","2","2","成立","yes","2","成立","6","成立"
"D₄（8元）","{e,s}","2","2","2","2","成立","yes","2","成立","6","成立"
"D₄（8元）","{e,sr}","2","2","2","2","成立","yes","2","成立","6","成立"
"D₄（8元）","{e,sr²}","2","2","2","2","成立","yes","2","成立","6","成立"
"D₄（8元）","{e,sr³}","2","2","2","2","成立","yes","2","成立","6","成立"
"D₄（8元）","{e,r,r²,r³}","4","4","4","4","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²,s,sr²}","4","4","4","4","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²,sr,sr³}","4","4","4","4","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r,r²,r³,s,sr,sr²,sr³}","8","8","8","8","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e}×{e}","1","1","1","1","成立","no","2","成立","7","成立"
"D₄（8元）","{e}×{e,r²}","2","1","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e}×{e,s}","2","1","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e}×{e,sr}","2","1","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e}×{e,sr²}","2","1","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e}×{e,sr³}","2","1","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e}×{e,r,r²,r³}","4","1","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e}×{e,r²,s,sr²}","4","1","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e}×{e,r²,sr,sr³}","4","1","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,r²}×{e,r²}","2","2","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e,r²}×{e,s}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²}×{e,sr}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²}×{e,sr²}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²}×{e,sr³}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r,r²,r³}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²,s,sr²}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²,sr,sr³}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,s}×{e,s}","2","2","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e,s}×{e,sr}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,s}×{e,sr²}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,s}×{e,sr³}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,s}×{e,r,r²,r³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,s}×{e,r²,s,sr²}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,s}×{e,r²,sr,sr³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,s}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,sr}×{e,sr}","2","2","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e,sr}×{e,sr²}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,sr}×{e,sr³}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,sr}×{e,r,r²,r³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr}×{e,r²,s,sr²}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr}×{e,r²,sr,sr³}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,sr}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,sr²}×{e,sr²}","2","2","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e,sr²}×{e,sr³}","4","2","2","2","成立","yes","4","成立","4","成立"
"D₄（8元）","{e,sr²}×{e,r,r²,r³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr²}×{e,r²,s,sr²}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,sr²}×{e,r²,sr,sr³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,sr³}×{e,sr³}","2","2","2","2","成立","no","4","成立","6","成立"
"D₄（8元）","{e,sr³}×{e,r,r²,r³}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr³}×{e,r²,s,sr²}","8","2","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,sr³}×{e,r²,sr,sr³}","4","2","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,r,r²,r³}×{e,r,r²,r³}","4","4","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r,r²,r³}×{e,r²,s,sr²}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,r,r²,r³}×{e,r²,sr,sr³}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,r,r²,r³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,r²,s,sr²}×{e,r²,s,sr²}","4","4","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r²,s,sr²}×{e,r²,sr,sr³}","8","4","4","4","成立","yes","8","成立","(G自体)","成立"
"D₄（8元）","{e,r²,s,sr²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,r²,sr,sr³}×{e,r²,sr,sr³}","4","4","4","4","成立","no","8","成立","4","成立"
"D₄（8元）","{e,r²,sr,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","4","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e,r,r²,r³,s,sr,sr²,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","8","8","8","成立","no","16","成立","(G自体)","成立"
"D₄（8元）","{e}×{e}×{e}","1","1","1","1","成立","no","3","成立","7","成立"
"D₄（8元）","{e}×{e}×{e,r²}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e}×{e,s}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e}×{e,sr}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e}×{e,sr²}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e}×{e,sr³}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e}×{e,r,r²,r³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e}×{e,r²,s,sr²}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e}×{e,r²,sr,sr³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r²}×{e,r²}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e,r²}×{e,s}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,sr}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,sr²}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,sr³}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,r,r²,r³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,r²,s,sr²}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,r²,sr,sr³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,s}×{e,s}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e,s}×{e,sr}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,s}×{e,sr²}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,s}×{e,sr³}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,s}×{e,r,r²,r³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,s}×{e,r²,s,sr²}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,s}×{e,r²,sr,sr³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,s}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr}×{e,sr}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e,sr}×{e,sr²}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,sr}×{e,sr³}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,sr}×{e,r,r²,r³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr}×{e,r²,s,sr²}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr}×{e,r²,sr,sr³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,sr}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr²}×{e,sr²}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e,sr²}×{e,sr³}","4","1","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e}×{e,sr²}×{e,r,r²,r³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr²}×{e,r²,s,sr²}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,sr²}×{e,r²,sr,sr³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr³}×{e,sr³}","2","1","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e}×{e,sr³}×{e,r,r²,r³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr³}×{e,r²,s,sr²}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,sr³}×{e,r²,sr,sr³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r,r²,r³}×{e,r,r²,r³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r,r²,r³}×{e,r²,s,sr²}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r,r²,r³}×{e,r²,sr,sr³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r,r²,r³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r²,s,sr²}×{e,r²,s,sr²}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r²,s,sr²}×{e,r²,sr,sr³}","8","1","4","4","成立","no","12","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r²,s,sr²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r²,sr,sr³}×{e,r²,sr,sr³}","4","1","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e}×{e,r²,sr,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e}×{e,r,r²,r³,s,sr,sr²,sr³}×{e,r,r²,r³,s,sr,sr²,sr³}","8","1","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,r²}","2","2","2","2","成立","no","6","成立","6","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,s}","4","2","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,sr}","4","2","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,sr²}","4","2","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,sr³}","4","2","2","2","成立","no","6","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,r,r²,r³}","4","2","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,r²,s,sr²}","4","2","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,r²,sr,sr³}","4","2","4","4","成立","no","12","成立","4","成立"
"D₄（8元）","{e,r²}×{e,r²}×{e,r,r²,r³,s,sr,sr²,sr³}","8","2","8","8","成立","no","24","成立","(G自体)","成立"
"D₄（8元）","{e,r²}×{e,s}×{e,s}","4","2","2","2","成立","no","6","成立","4","成立"
