"群","セクト","位数","|H₁|","|Hₙ|","lcm","Thm2.6","irredundant","n×max","Thm3.9","Gとの差","Thm4.32"
"S₃（6元）","{e}","1","1","1","1","成立","yes","1","成立","5","成立"
"S₃（6元）","{e,f}","2","2","2","2","成立","yes","2","成立","4","成立"
"S₃（6元）","{e,fr}","2","2","2","2","成立","yes","2","成立","4","成立"
"S₃（6元）","{e,fr²}","2","2","2","2","成立","yes","2","成立","4","成立"
"S₃（6元）","{e,r,r²}","3","3","3","3","成立","yes","3","成立","3","成立"
"S₃（6元）","{e,r,r²,f,fr,fr²}","6","6","6","6","成立","yes","6","成立","(G自体)","成立"
"S₃（6元）","{e}×{e}","1","1","1","1","成立","no","2","成立","5","成立"
"S₃（6元）","{e}×{e,f}","2","1","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e}×{e,fr}","2","1","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e}×{e,fr²}","2","1","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e}×{e,r,r²}","3","1","3","3","成立","no","6","成立","3","成立"
"S₃（6元）","{e}×{e,r,r²,f,fr,fr²}","6","1","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e,f}×{e,f}","2","2","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e,f}×{e,fr}","4","2","2","2","成立","yes","4","成立","2","成立"
"S₃（6元）","{e,f}×{e,fr²}","4","2","2","2","成立","yes","4","成立","2","成立"
"S₃（6元）","{e,f}×{e,r,r²}","6","2","3","6","成立","yes","6","成立","(G自体)","成立"
"S₃（6元）","{e,f}×{e,r,r²,f,fr,fr²}","6","2","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e,fr}×{e,fr}","2","2","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e,fr}×{e,fr²}","4","2","2","2","成立","yes","4","成立","2","成立"
"S₃（6元）","{e,fr}×{e,r,r²}","6","2","3","6","成立","yes","6","成立","(G自体)","成立"
"S₃（6元）","{e,fr}×{e,r,r²,f,fr,fr²}","6","2","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e,fr²}×{e,fr²}","2","2","2","2","成立","no","4","成立","4","成立"
"S₃（6元）","{e,fr²}×{e,r,r²}","6","2","3","6","成立","yes","6","成立","(G自体)","成立"
"S₃（6元）","{e,fr²}×{e,r,r²,f,fr,fr²}","6","2","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e,r,r²}×{e,r,r²}","3","3","3","3","成立","no","6","成立","3","成立"
"S₃（6元）","{e,r,r²}×{e,r,r²,f,fr,fr²}","6","3","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e,r,r²,f,fr,fr²}×{e,r,r²,f,fr,fr²}","6","6","6","6","成立","no","12","成立","(G自体)","成立"
"S₃（6元）","{e}×{e}×{e}","1","1","1","1","成立","no","3","成立","5","成立"
"S₃（6元）","{e}×{e}×{e,f}","2","1","2","2","成立","no","6","成立","4","成立"
"S₃（6元）","{e}×{e}×{e,fr}","2","1","2","2","成立","no","6","成立","4","成立"
"S₃（6元）","{e}×{e}×{e,fr²}","2","1","2","2","成立","no","6","成立","4","成立"
"S₃（6元）","{e}×{e}×{e,r,r²}","3","1","3","3","成立","no","9","成立","3","成立"
