"群","セクト","位数","|H₁|","|Hₙ|","lcm","Thm2.6","irredundant","n×max","Thm3.9","Gとの差","Thm4.32"
"Z₆（6元、可換）","{0}","1","1","1","1","成立","yes","1","成立","5","成立"
"Z₆（6元、可換）","{0,3}","2","2","2","2","成立","yes","2","成立","4","成立"
"Z₆（6元、可換）","{0,2,4}","3","3","3","3","成立","yes","3","成立","3","成立"
"Z₆（6元、可換）","{0,1,2,3,4,5}","6","6","6","6","成立","yes","6","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}","1","1","1","1","成立","no","2","成立","5","成立"
"Z₆（6元、可換）","{0}×{0,3}","2","1","2","2","成立","no","4","成立","4","成立"
"Z₆（6元、可換）","{0}×{0,2,4}","3","1","3","3","成立","no","6","成立","3","成立"
"Z₆（6元、可換）","{0}×{0,1,2,3,4,5}","6","1","6","6","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,3}","2","2","2","2","成立","no","4","成立","4","成立"
"Z₆（6元、可換）","{0,3}×{0,2,4}","6","2","3","6","成立","yes","6","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,1,2,3,4,5}","6","2","6","6","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,2,4}×{0,2,4}","3","3","3","3","成立","no","6","成立","3","成立"
"Z₆（6元、可換）","{0,2,4}×{0,1,2,3,4,5}","6","3","6","6","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","6","6","6","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0}","1","1","1","1","成立","no","3","成立","5","成立"
"Z₆（6元、可換）","{0}×{0}×{0,3}","2","1","2","2","成立","no","6","成立","4","成立"
"Z₆（6元、可換）","{0}×{0}×{0,2,4}","3","1","3","3","成立","no","9","成立","3","成立"
"Z₆（6元、可換）","{0}×{0}×{0,1,2,3,4,5}","6","1","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,3}","2","1","2","2","成立","no","6","成立","4","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,2,4}","6","1","3","3","成立","no","9","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,1,2,3,4,5}","6","1","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,2,4}×{0,2,4}","3","1","3","3","成立","no","9","成立","3","成立"
"Z₆（6元、可換）","{0}×{0,2,4}×{0,1,2,3,4,5}","6","1","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","1","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,3}×{0,3}","2","2","2","2","成立","no","6","成立","4","成立"
"Z₆（6元、可換）","{0,3}×{0,3}×{0,2,4}","6","2","3","6","成立","no","9","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,3}×{0,1,2,3,4,5}","6","2","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,2,4}×{0,2,4}","6","2","3","6","成立","no","9","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,2,4}×{0,1,2,3,4,5}","6","2","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,3}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","2","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,2,4}×{0,2,4}×{0,2,4}","3","3","3","3","成立","no","9","成立","3","成立"
"Z₆（6元、可換）","{0,2,4}×{0,2,4}×{0,1,2,3,4,5}","6","3","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,2,4}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","3","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0,1,2,3,4,5}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","6","6","6","成立","no","18","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0}×{0}","1","1","1","1","成立","no","4","成立","5","成立"
"Z₆（6元、可換）","{0}×{0}×{0}×{0,3}","2","1","2","2","成立","no","8","成立","4","成立"
"Z₆（6元、可換）","{0}×{0}×{0}×{0,2,4}","3","1","3","3","成立","no","12","成立","3","成立"
"Z₆（6元、可換）","{0}×{0}×{0}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0,3}×{0,3}","2","1","2","2","成立","no","8","成立","4","成立"
"Z₆（6元、可換）","{0}×{0}×{0,3}×{0,2,4}","6","1","3","3","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0,3}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0,2,4}×{0,2,4}","3","1","3","3","成立","no","12","成立","3","成立"
"Z₆（6元、可換）","{0}×{0}×{0,2,4}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,3}×{0,3}","2","1","2","2","成立","no","8","成立","4","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,3}×{0,2,4}","6","1","3","3","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,3}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,2,4}×{0,2,4}","6","1","3","3","成立","no","12","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,2,4}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
"Z₆（6元、可換）","{0}×{0,3}×{0,1,2,3,4,5}×{0,1,2,3,4,5}","6","1","6","6","成立","no","24","成立","(G自体)","成立"
